Geneid	12-FC
ENSRNOG00000014791	8196
ENSRNOG00000048353	0
ENSRNOG00000015071	30
ENSRNOG00000061569	0
ENSRNOG00000041209	0
ENSRNOG00000015254	0
ENSRNOG00000047512	0
ENSRNOG00000045783	0
ENSRNOG00000015289	0
ENSRNOG00000030070	0
ENSRNOG00000057132	0
ENSRNOG00000042502	134
ENSRNOG00000042777	165
ENSRNOG00000015322	64
ENSRNOG00000051384	139
ENSRNOG00000034184	86
ENSRNOG00000033906	240
ENSRNOG00000049014	0
ENSRNOG00000022129	0
ENSRNOG00000015517	1293
ENSRNOG00000015456	185
ENSRNOG00000022994	0
ENSRNOG00000042719	0
ENSRNOG00000021996	0
ENSRNOG00000038674	0
ENSRNOG00000060136	0
ENSRNOG00000032891	0
ENSRNOG00000036304	0
ENSRNOG00000048505	0
ENSRNOG00000021913	0
ENSRNOG00000053141	0
ENSRNOG00000049710	0
ENSRNOG00000033755	0
ENSRNOG00000031899	0
ENSRNOG00000038647	0
ENSRNOG00000058224	0
ENSRNOG00000038644	0
ENSRNOG00000058893	0
ENSRNOG00000032913	1
ENSRNOG00000015743	0
ENSRNOG00000015753	5857
ENSRNOG00000015914	2396
ENSRNOG00000015997	447
ENSRNOG00000016274	191
ENSRNOG00000054623	0
ENSRNOG00000016279	201
ENSRNOG00000046037	0
ENSRNOG00000028628	608
ENSRNOG00000016565	102
ENSRNOG00000016574	377
ENSRNOG00000016608	239
ENSRNOG00000042927	0
ENSRNOG00000038625	0
ENSRNOG00000016687	219
ENSRNOG00000042414	737
ENSRNOG00000038622	212
ENSRNOG00000050348	272
ENSRNOG00000016829	204
ENSRNOG00000016877	3415
ENSRNOG00000016930	1135
ENSRNOG00000017127	2035
ENSRNOG00000017306	68
ENSRNOG00000042528	7
ENSRNOG00000017386	4
ENSRNOG00000033173	0
ENSRNOG00000038616	17
ENSRNOG00000017508	808
ENSRNOG00000058451	10
ENSRNOG00000028273	150
ENSRNOG00000017673	13141
ENSRNOG00000017795	1115
ENSRNOG00000018090	4025
ENSRNOG00000038607	50
ENSRNOG00000058906	9
ENSRNOG00000018217	2565
ENSRNOG00000038600	44
ENSRNOG00000018250	5
ENSRNOG00000028041	31
ENSRNOG00000053828	2916
ENSRNOG00000027942	11
ENSRNOG00000027919	226
ENSRNOG00000057297	1
ENSRNOG00000053253	3
ENSRNOG00000047204	3
ENSRNOG00000049759	0
ENSRNOG00000018458	6
ENSRNOG00000027855	0
ENSRNOG00000046577	0
ENSRNOG00000027843	0
ENSRNOG00000027811	8
ENSRNOG00000048238	0
ENSRNOG00000046683	9
ENSRNOG00000027808	26
ENSRNOG00000018616	76
ENSRNOG00000018621	101
ENSRNOG00000018642	7833
ENSRNOG00000032699	19454
